,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,2021-09-23 21:42:08.449500
0,ACCIONA,145.7,0.76,64337,2021-09-23 21:42:08.449500
1,ACERINOX,11.17,0.0,941357,2021-09-23 21:42:08.449500
2,ACS,23.46,0.6,450824,2021-09-23 21:42:08.449500
3,AENA,138.4,-1.63,179594,2021-09-23 21:42:08.449500
4,ALMIRALL,14.21,0.92,169118,2021-09-23 21:42:08.449500
5,AMADEUS,55.72,-0.25,873998,2021-09-23 21:42:08.449500
6,ARCELORMIT.,26.025,1.01,447464,2021-09-23 21:42:08.449500
7,B.SANTANDER,3.083,2.99,35337267,2021-09-23 21:42:08.449500
8,BA.SABADELL,0.6616,1.75,30366370,2021-09-23 21:42:08.449500
9,BANKINTER,5.036,1.76,2064721,2021-09-23 21:42:08.449500
10,BBVA,5.57,2.81,29085498,2021-09-23 21:42:08.449500
11,CAIXABANK,2.64,1.97,7952160,2021-09-23 21:42:08.449500
12,CELLNEX,57.78,-0.38,449946,2021-09-23 21:42:08.449500
13,CIE AUTOMOT.,22.4,1.63,158908,2021-09-23 21:42:08.449500
14,ENAGAS,19.35,0.81,622027,2021-09-23 21:42:08.449500
15,ENDESA,18.155,-0.08,1412572,2021-09-23 21:42:08.449500
16,FERROVIAL,25.32,0.12,433453,2021-09-23 21:42:08.449500
17,FLUIDRA,38.0,2.15,374972,2021-09-23 21:42:08.449500
18,GRIFOLS CL.A,22.23,0.86,942971,2021-09-23 21:42:08.449500
19,IAG,2.01,-0.94,15698223,2021-09-23 21:42:08.449500
20,IBERDROLA,9.3,0.5,10113730,2021-09-23 21:42:08.449500
21,INDITEX,32.04,-0.47,4442560,2021-09-23 21:42:08.449500
22,INDRA A,9.475,1.66,726548,2021-09-23 21:42:08.449500
23,INM.COLONIAL,8.84,0.97,571857,2021-09-23 21:42:08.449500
24,MAPFRE,1.828,1.5,1797708,2021-09-23 21:42:08.449500
25,MELIA HOTELS,6.3,2.51,1046845,2021-09-23 21:42:08.449500
26,MERLIN,9.384,1.01,519482,2021-09-23 21:42:08.449500
27,NATURGY,21.65,0.28,1666236,2021-09-23 21:42:08.449500
28,PHARMA MAR,79.48,0.58,41634,2021-09-23 21:42:08.449500
29,R.E.C.,17.625,0.66,1000838,2021-09-23 21:42:08.449500
30,REPSOL,10.688,2.06,7044465,2021-09-23 21:42:08.449500
31,SIEMENS GAME,22.98,2.04,970984,2021-09-23 21:42:08.449500
32,SOLARIA,14.91,0.91,721715,2021-09-23 21:42:08.449500
33,TELEFONICA,4.072,-0.01,10692443,2021-09-23 21:42:08.449500
34,VISCOFAN,58.5,0.17,45422,2021-09-23 21:42:08.449500
